BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
1,52,6,6,noResponse,0,notApplicable
1,51,11,15,Blue,6.103516E-05,notApplicable
1,50,7,11,Blue,0,notApplicable
1,49,10,6,Yellow,1.525879E-05,notApplicable
1,48,6,13,Blue,1.525879E-05,notApplicable
1,47,6,10,Blue,0,notApplicable
1,46,16,17,Yellow,0,notApplicable
1,45,17,13,Yellow,1.525879E-05,notApplicable
1,44,14,9,Yellow,0,notApplicable
1,43,12,7,Yellow,0,notApplicable
1,42,10,14,Blue,1.525879E-05,notApplicable
1,41,19,14,Yellow,1.525879E-05,notApplicable
1,40,9,11,Blue,0,notApplicable
1,39,4,7,Blue,0,notApplicable
1,38,15,8,Yellow,0,notApplicable
1,37,11,8,Yellow,0,notApplicable
1,36,14,11,Yellow,0,notApplicable
1,36,14,10,noResponse,0,notApplicable
1,35,17,12,Yellow,0,notApplicable
1,34,11,18,Blue,0,notApplicable
1,33,7,7,Yellow,0,notApplicable
1,32,10,19,Blue,0,notApplicable
1,31,10,19,Blue,0,notApplicable
1,30,8,13,Blue,0,notApplicable
1,29,4,3,Yellow,3.051758E-05,notApplicable
1,28,11,7,Yellow,0,notApplicable
1,27,3,4,Blue,0,notApplicable
1,26,9,8,Yellow,0,notApplicable
1,25,15,20,Blue,0,notApplicable
1,24,9,6,Yellow,0,notApplicable
1,23,11,15,Blue,0,notApplicable
1,22,13,8,Yellow,0,notApplicable
1,21,19,14,Blue,0,notApplicable
1,20,6,4,Yellow,0,notApplicable
1,19,7,8,Yellow,0,notApplicable
1,18,7,10,Blue,0,notApplicable
1,17,5,7,Yellow,0,notApplicable
1,16,16,10,Yellow,3.051758E-05,notApplicable
1,15,5,8,Blue,0,notApplicable
1,14,6,9,Blue,0,notApplicable
1,13,13,17,Blue,0,notApplicable
1,12,7,11,Blue,0,notApplicable
1,11,7,4,Yellow,0,notApplicable
1,10,6,4,Blue,0,notApplicable
1,9,2,7,Blue,0,notApplicable
1,8,13,10,Yellow,0,notApplicable
1,7,16,17,Blue,0,notApplicable
1,6,15,8,Yellow,0,notApplicable
1,5,13,16,Blue,0,notApplicable
1,4,18,8,Yellow,0,notApplicable
1,3,15,8,Yellow,0,notApplicable
1,2,6,4,Yellow,0,notApplicable
1,1,7,12,Blue,0,notApplicable
1,0,9,14,Blue,0,notApplicable
1,-1,5,7,Blue,0,notApplicable
2,51,14,20,Blue,0.0008239746,notApplicable
2,50,14,8,Yellow,0.0006408691,notApplicable
2,49,7,11,Blue,0.0006408691,notApplicable
2,48,10,13,Blue,0.000579834,notApplicable
2,47,12,18,Blue,0.0006713867,notApplicable
2,46,15,16,Yellow,0.0007019043,notApplicable
2,45,21,14,Yellow,0.0007019043,notApplicable
2,44,12,18,Blue,0.0006103516,notApplicable
2,43,19,11,Yellow,0.0006103516,notApplicable
2,42,8,11,Blue,0.0005493164,notApplicable
2,41,11,13,Blue,0.0008544922,notApplicable
2,40,15,13,Yellow,0.0006408691,notApplicable
2,39,7,9,Blue,0.0005187988,notApplicable
2,38,18,14,Yellow,0.0007629395,notApplicable
2,37,8,10,Blue,0.0006408691,notApplicable
2,36,13,6,Yellow,0.0007629395,notApplicable
2,35,6,8,Yellow,0.000793457,notApplicable
2,34,9,7,Blue,0.0005493164,notApplicable
2,33,7,6,Yellow,0.0007019043,notApplicable
2,32,6,8,Blue,0.0006103516,notApplicable
2,31,5,2,Yellow,0.0007629395,notApplicable
2,30,19,11,Yellow,0.000579834,notApplicable
2,29,4,7,Blue,0.0007019043,notApplicable
2,28,16,11,Yellow,0.0007324219,notApplicable
2,27,4,7,Blue,0.0008239746,notApplicable
2,26,7,5,Yellow,0.000579834,notApplicable
2,25,10,14,Blue,0.0007629395,notApplicable
2,24,5,6,Blue,0.0007324219,notApplicable
2,23,12,8,Yellow,0.0007019043,notApplicable
2,22,18,13,Yellow,0.0006713867,notApplicable
2,21,3,5,Blue,0.0007019043,notApplicable
2,20,15,14,Blue,0.0007629395,notApplicable
2,19,14,7,Yellow,0.0006408691,notApplicable
2,18,5,7,Yellow,0.0007629395,notApplicable
2,17,18,14,Blue,0.0006103516,notApplicable
2,16,10,6,Yellow,0.0006713867,notApplicable
2,15,8,9,Blue,0.0006103516,notApplicable
2,14,18,15,Yellow,0.0006408691,notApplicable
2,13,8,3,Yellow,0.0007324219,notApplicable
2,12,18,10,Yellow,0.000579834,notApplicable
2,11,14,7,Yellow,0.000793457,notApplicable
2,10,9,7,Yellow,0.0004882813,notApplicable
2,9,12,17,Blue,0.0007019043,notApplicable
2,8,19,17,Yellow,0.0004882813,notApplicable
2,7,7,4,Yellow,0.00100708,notApplicable
2,6,11,7,Yellow,0.001037598,notApplicable
2,5,15,10,Yellow,0.0006713867,notApplicable
2,4,6,4,Blue,0.0005493164,notApplicable
2,3,4,3,Yellow,0.0006408691,notApplicable
2,2,4,7,Blue,0.0008544922,notApplicable
2,1,5,9,Blue,0.0006713867,notApplicable
2,0,8,4,Yellow,0.0005493164,notApplicable
2,-1,7,4,Yellow,0.000793457,notApplicable
3,51,12,15,Yellow,0.001708984,Congruent
3,50,19,14,Yellow,0.0006408691,Incongruent
3,49,10,6,Yellow,0.0009765625,Incongruent
3,48,9,11,Blue,0.0006713867,Congruent
3,47,10,15,Blue,0.0005187988,Congruent
3,46,14,18,Blue,0.000579834,Congruent
3,45,19,13,Yellow,0.0007324219,Congruent
3,44,6,3,Yellow,0.0006103516,Congruent
3,43,5,7,Blue,0.0006713867,Congruent
3,42,9,8,Yellow,0.0006103516,Congruent
3,41,14,9,Yellow,0.0007324219,Congruent
3,40,9,7,Blue,0.0005493164,Incongruent
3,39,17,11,Yellow,0.0006103516,Congruent
3,38,16,12,Yellow,0.0009765625,Congruent
3,37,16,23,Blue,0.0006713867,Congruent
3,36,7,3,Yellow,0.0006713867,Congruent
3,35,14,11,Yellow,0.0007324219,Congruent
3,34,9,9,Blue,0.0005493164,Congruent
3,33,15,20,Blue,0.0006713867,Congruent
3,32,14,9,Yellow,0.001098633,Incongruent
3,31,13,18,Blue,0.0006103516,Congruent
3,30,8,14,Blue,0.000793457,Congruent
3,29,5,10,Blue,0.0006713867,Congruent
3,28,8,10,Blue,0.0006713867,Congruent
3,27,8,9,Yellow,0.0008544922,Congruent
3,26,14,6,Yellow,0.001220703,Congruent
3,25,14,15,Yellow,0.001464844,Congruent
3,24,13,5,Yellow,0.000793457,Congruent
3,23,7,5,Yellow,0.0006713867,Congruent
3,22,14,20,Blue,0.0006103516,Congruent
3,21,17,15,Yellow,0.0009765625,Congruent
3,20,14,17,Blue,0.0007324219,Congruent
3,19,4,7,Blue,0.0006103516,Congruent
3,18,15,8,Yellow,0.0006713867,Congruent
3,17,8,5,Yellow,0.0006103516,Congruent
3,16,12,16,Yellow,0.0005493164,Congruent
3,15,4,6,Blue,0.0006713867,Congruent
3,14,5,9,Blue,0.0007324219,Congruent
3,13,6,4,Yellow,0.0005493164,Congruent
3,12,11,19,Blue,0.0007324219,Congruent
3,11,11,10,Yellow,0.0006713867,Congruent
3,10,18,14,Blue,0.0009155273,Congruent
3,9,18,14,Yellow,0.000793457,Congruent
3,8,16,11,Yellow,0.0007324219,Congruent
3,7,13,19,Blue,0.0005493164,Congruent
3,6,6,10,Blue,0.0006713867,Congruent
3,5,8,14,Blue,0.0006103516,Congruent
3,4,14,8,Yellow,0.0006103516,Congruent
3,3,7,11,Blue,0.0006713867,Incongruent
3,2,15,11,Yellow,0.0006713867,Congruent
3,1,10,17,Blue,0.0006103516,Congruent
3,0,7,10,Blue,0.0007324219,Congruent
3,-1,6,8,Yellow,0.0008544922,Congruent
