BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
1,51,6,10,Blue,5.340576E-05,notApplicable
1,50,8,9,Blue,7.629395E-06,notApplicable
1,49,19,15,Yellow,1.525879E-05,notApplicable
1,48,22,15,Yellow,0,notApplicable
1,47,5,7,Blue,0,notApplicable
1,46,19,12,Yellow,0,notApplicable
1,45,13,18,Blue,0,notApplicable
1,44,8,10,Blue,0,notApplicable
1,43,13,13,Yellow,0,notApplicable
1,42,5,8,Blue,0,notApplicable
1,41,8,11,Blue,0,notApplicable
1,40,18,13,Yellow,7.629395E-06,notApplicable
1,39,13,22,Blue,0,notApplicable
1,39,18,13,noResponse,0,notApplicable
1,38,18,11,Yellow,0,notApplicable
1,37,17,11,Yellow,0,notApplicable
1,36,13,8,Yellow,1.525879E-05,notApplicable
1,35,8,12,Blue,0,notApplicable
1,34,17,12,Yellow,0,notApplicable
1,34,6,4,noResponse,0,notApplicable
1,33,12,14,Yellow,0,notApplicable
1,32,7,14,Blue,0,notApplicable
1,31,16,10,Yellow,0,notApplicable
1,30,5,6,Yellow,0,notApplicable
1,29,11,7,Yellow,0,notApplicable
1,28,13,21,Blue,0,notApplicable
1,27,6,5,Yellow,1.525879E-05,notApplicable
1,26,12,20,Blue,0,notApplicable
1,25,3,5,Blue,0,notApplicable
1,24,9,6,Yellow,0,notApplicable
1,23,12,7,Yellow,0,notApplicable
1,22,5,7,Blue,0,notApplicable
1,21,13,10,Yellow,0,notApplicable
1,20,14,11,Yellow,0,notApplicable
1,19,5,8,Blue,0,notApplicable
1,18,3,5,Yellow,0,notApplicable
1,18,5,6,noResponse,0,notApplicable
1,18,12,7,noResponse,0,notApplicable
1,18,15,17,noResponse,0,notApplicable
1,17,14,7,Yellow,0,notApplicable
1,16,16,11,Yellow,1.525879E-05,notApplicable
1,15,6,4,Yellow,0,notApplicable
1,14,7,9,Blue,0,notApplicable
1,14,15,13,noResponse,0,notApplicable
1,13,9,9,Yellow,0,notApplicable
1,12,16,19,Blue,0,notApplicable
1,11,10,14,Blue,0,notApplicable
1,10,16,14,Yellow,0,notApplicable
1,9,7,9,Blue,0,notApplicable
1,8,19,8,Yellow,3.051758E-05,notApplicable
1,7,9,8,Blue,0,notApplicable
1,6,9,5,Yellow,0,notApplicable
1,5,15,7,Yellow,0,notApplicable
1,4,3,5,Blue,0,notApplicable
1,3,15,9,Yellow,0,notApplicable
1,2,14,11,Yellow,0,notApplicable
1,1,19,16,Yellow,0,notApplicable
1,0,5,8,Blue,0,notApplicable
1,-1,8,12,Blue,0,notApplicable
2,51,11,10,Yellow,0.001220703,notApplicable
2,51,7,11,noResponse,0,notApplicable
2,50,7,10,Blue,0.0006408691,notApplicable
2,49,12,13,Yellow,0.0008544922,notApplicable
2,48,11,8,Yellow,0.0006408691,notApplicable
2,47,16,20,Blue,0.000793457,notApplicable
2,46,18,13,Yellow,0.0006103516,notApplicable
2,45,13,9,Yellow,0.0006103516,notApplicable
2,44,8,6,Yellow,0.0006103516,notApplicable
2,43,18,8,Yellow,0.0004882813,notApplicable
