BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
1,51,15,10,Yellow,0.0001296997,notApplicable
1,50,8,12,Blue,3.433228E-05,notApplicable
1,49,3,7,Blue,0,notApplicable
1,48,14,8,Yellow,0,notApplicable
1,47,7,10,Blue,0,notApplicable
1,46,7,10,Blue,3.814697E-06,notApplicable
1,45,20,13,Yellow,3.814697E-06,notApplicable
1,44,5,9,Blue,0,notApplicable
1,43,18,21,Yellow,3.814697E-06,notApplicable
1,42,14,11,Yellow,0,notApplicable
1,41,16,19,Blue,7.629395E-06,notApplicable
1,40,10,10,Yellow,0,notApplicable
1,39,5,8,Blue,0,notApplicable
1,38,8,16,Blue,0,notApplicable
1,37,14,8,Yellow,7.629395E-06,notApplicable
1,36,8,5,Yellow,0,notApplicable
1,35,21,14,Yellow,7.629395E-06,notApplicable
1,34,12,7,Yellow,7.629395E-06,notApplicable
1,33,8,13,Blue,0,notApplicable
1,32,19,14,Yellow,0,notApplicable
1,31,18,13,Yellow,0,notApplicable
1,30,12,9,Blue,7.629395E-06,notApplicable
1,29,11,18,Blue,7.629395E-06,notApplicable
1,28,17,14,Yellow,0,notApplicable
1,27,7,10,Blue,0,notApplicable
1,26,16,13,Yellow,0,notApplicable
1,25,9,11,Blue,0,notApplicable
1,24,10,6,Yellow,7.629395E-06,notApplicable
1,23,4,8,Blue,0,notApplicable
1,22,10,7,Yellow,7.629395E-06,notApplicable
1,21,12,14,Blue,0,notApplicable
1,20,9,7,Yellow,0,notApplicable
1,19,13,17,Blue,0,notApplicable
1,18,9,6,Yellow,0,notApplicable
1,17,16,12,Yellow,0,notApplicable
1,16,12,15,Blue,0,notApplicable
1,15,8,12,Blue,0,notApplicable
1,14,13,14,Blue,1.525879E-05,notApplicable
1,13,15,12,Yellow,0,notApplicable
1,12,18,13,Yellow,0,notApplicable
1,11,7,5,Yellow,0,notApplicable
1,10,16,11,Yellow,0,notApplicable
1,9,3,5,Blue,0,notApplicable
1,8,10,15,Yellow,0,notApplicable
1,7,9,17,Blue,0,notApplicable
1,6,14,11,Blue,0,notApplicable
1,5,6,4,Yellow,0,notApplicable
1,4,14,18,Blue,0,notApplicable
1,3,12,16,Yellow,0,notApplicable
1,2,17,14,Yellow,0,notApplicable
1,1,11,18,Blue,1.525879E-05,notApplicable
1,0,21,16,Yellow,0,notApplicable
1,-1,15,12,Blue,0,notApplicable
2,51,4,6,Blue,0.002044678,notApplicable
2,50,7,5,Yellow,0.00100708,notApplicable
2,49,5,8,Blue,0.001251221,notApplicable
2,48,14,10,Yellow,0.000793457,notApplicable
2,47,13,19,Blue,0.0009918213,notApplicable
2,46,16,12,Yellow,0.0006713867,notApplicable
2,45,13,19,Blue,0.0009002686,notApplicable
2,44,12,16,Yellow,0.0006561279,notApplicable
2,43,8,7,Yellow,0.0007781982,notApplicable
2,42,11,7,Blue,0.0006561279,notApplicable
2,41,10,14,Blue,0.0009765625,notApplicable
2,40,13,14,Blue,0.0008087158,notApplicable
2,39,17,13,Yellow,0.001266479,notApplicable
2,38,7,5,Blue,0.0007476807,notApplicable
2,37,6,6,Yellow,0.000579834,notApplicable
2,36,8,5,Yellow,0.0007781982,notApplicable
2,35,15,12,Blue,0.0007171631,notApplicable
2,34,19,14,Yellow,0.0005493164,notApplicable
2,33,6,10,Blue,0.0007019043,notApplicable
2,32,10,15,Blue,0.0005187988,notApplicable
2,31,8,14,Yellow,0.0006408691,notApplicable
2,30,8,12,Yellow,0.0006713867,notApplicable
2,29,10,15,Blue,0.0007629395,notApplicable
