BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
1,51,11,9,Yellow,5.531311E-05,notApplicable
1,50,13,11,Yellow,1.907349E-06,notApplicable
1,49,6,10,Blue,2.670288E-05,notApplicable
1,48,11,14,Blue,1.907349E-06,notApplicable
1,47,7,11,Blue,1.907349E-06,notApplicable
1,46,9,9,Blue,1.907349E-06,notApplicable
1,45,8,5,Yellow,3.814697E-06,notApplicable
1,44,6,12,Blue,3.814697E-06,notApplicable
1,43,17,17,Blue,3.814697E-06,notApplicable
1,42,3,5,Yellow,0,notApplicable
1,41,15,18,Blue,0,notApplicable
1,40,8,16,Blue,3.814697E-06,notApplicable
1,39,14,12,Yellow,3.814697E-06,notApplicable
1,38,6,10,Blue,7.629395E-06,notApplicable
1,37,7,5,Yellow,3.814697E-06,notApplicable
1,36,17,12,Yellow,0,notApplicable
1,35,5,10,Blue,7.629395E-06,notApplicable
1,34,12,12,Blue,7.629395E-06,notApplicable
1,33,12,22,Blue,0,notApplicable
1,32,23,16,Yellow,0,notApplicable
1,31,14,11,Yellow,7.629395E-06,notApplicable
1,30,8,13,Blue,7.629395E-06,notApplicable
1,29,22,14,Yellow,0,notApplicable
1,28,8,6,Blue,0,notApplicable
1,27,13,11,Yellow,0,notApplicable
1,26,6,4,Blue,0,notApplicable
1,25,12,16,Blue,0,notApplicable
1,24,17,20,Yellow,0,notApplicable
1,23,11,16,Blue,0,notApplicable
1,22,7,3,Yellow,0,notApplicable
1,21,9,17,Blue,0,notApplicable
1,20,10,12,Blue,0,notApplicable
1,19,6,11,Blue,0,notApplicable
1,18,7,5,Yellow,0,notApplicable
1,17,12,14,Blue,7.629395E-06,notApplicable
1,16,6,10,Blue,0,notApplicable
1,15,16,11,Yellow,1.525879E-05,notApplicable
1,14,9,6,Blue,0,notApplicable
1,13,8,15,Blue,0,notApplicable
1,12,11,6,Yellow,0,notApplicable
1,11,21,14,Yellow,0,notApplicable
1,10,4,6,Blue,1.525879E-05,notApplicable
1,9,5,4,Yellow,0,notApplicable
1,8,15,7,Yellow,0,notApplicable
1,7,10,14,Yellow,0,notApplicable
1,6,15,11,Blue,0,notApplicable
1,5,12,11,Yellow,0,notApplicable
1,4,20,15,Yellow,1.525879E-05,notApplicable
1,3,7,10,Blue,0,notApplicable
1,2,8,5,Yellow,0,notApplicable
1,1,10,17,Blue,0,notApplicable
1,0,18,6,Yellow,0,notApplicable
1,-1,7,4,Yellow,0,notApplicable
2,51,8,13,Blue,0.001220703,notApplicable
2,50,7,5,Blue,0.0006103516,notApplicable
2,49,9,15,Blue,0.0005645752,notApplicable
2,48,12,7,Yellow,0.0005340576,notApplicable
2,47,23,18,Yellow,0.0004882813,notApplicable
2,46,9,12,Blue,0.0005950928,notApplicable
2,45,9,16,Blue,0.0005493164,notApplicable
2,44,9,16,Yellow,0.001083374,notApplicable
2,43,13,8,Yellow,0.001174927,notApplicable
2,42,7,6,Blue,0.0007171631,notApplicable
2,41,12,7,Yellow,0.0008392334,notApplicable
2,40,13,8,Yellow,0.001022339,notApplicable
2,39,17,9,Yellow,0.001022339,notApplicable
2,38,12,14,Yellow,0.0009307861,notApplicable
2,37,6,5,Blue,0.0009002686,notApplicable
2,36,21,14,Yellow,0.0007324219,notApplicable
2,35,12,6,Yellow,0.0005340576,notApplicable
2,34,5,6,Blue,0.0009002686,notApplicable
2,33,7,6,Yellow,0.0007171631,notApplicable
2,32,17,9,Yellow,0.0007019043,notApplicable
2,31,10,9,Yellow,0.0005950928,notApplicable
2,30,3,7,Blue,0.0006408691,notApplicable
2,29,16,13,Yellow,0.0007324219,notApplicable
2,28,5,12,Blue,0.001068115,notApplicable
2,27,9,7,Yellow,0.0006103516,notApplicable
2,26,14,16,Yellow,0.0006408691,notApplicable
2,25,4,6,Yellow,0.0006103516,notApplicable
2,24,10,7,Yellow,0.000579834,notApplicable
2,23,13,18,Blue,0.0008544922,notApplicable
2,22,13,20,Blue,0.0006713867,notApplicable
2,21,10,16,Blue,0.0006103516,notApplicable
2,20,8,10,Blue,0.0007019043,notApplicable
2,19,10,7,Yellow,0.000579834,notApplicable
2,18,12,6,Yellow,0.0006408691,notApplicable
2,17,6,3,Blue,0.0007019043,notApplicable
2,16,3,7,Blue,0.000579834,notApplicable
2,15,11,10,Yellow,0.000579834,notApplicable
2,14,17,16,Blue,0.0006408691,notApplicable
2,13,9,8,Yellow,0.0006408691,notApplicable
2,12,5,5,Blue,0.0005187988,notApplicable
2,11,11,14,Blue,0.0007019043,notApplicable
2,10,11,12,Yellow,0.0008544922,notApplicable
2,9,3,7,Yellow,0.0009765625,notApplicable
2,8,15,13,Yellow,0.0007629395,notApplicable
2,7,6,4,Yellow,0.0007324219,notApplicable
2,6,17,8,Yellow,0.0009765625,notApplicable
2,5,18,12,Yellow,0.0006713867,notApplicable
2,4,11,16,Yellow,0.0009765625,notApplicable
2,3,14,13,Yellow,0.0007019043,notApplicable
2,2,5,8,Blue,0.0007324219,notApplicable
2,1,16,14,Yellow,0.0007629395,notApplicable
2,0,9,6,Blue,0.0007324219,notApplicable
2,-1,6,4,Yellow,0.0008544922,notApplicable
3,51,13,17,Blue,0.000793457,Congruent
3,50,14,9,Yellow,0.0008239746,Congruent
3,49,14,9,Yellow,0.0006408691,Congruent
3,48,18,13,Yellow,0.0006713867,Congruent
3,47,9,13,Blue,0.0006103516,Congruent
3,46,6,4,Yellow,0.0009460449,Congruent
3,45,15,12,Yellow,0.0006713867,Incongruent
3,44,16,19,Blue,0.000793457,Congruent
3,43,3,3,Yellow,0.0006103516,Congruent
3,42,8,14,Yellow,0.0007019043,Congruent
3,41,14,10,Blue,0.0006408691,Congruent
3,40,16,14,Blue,0.000793457,Congruent
3,39,11,13,Blue,0.0005493164,Congruent
3,38,7,10,Blue,0.0006103516,Congruent
3,37,11,14,Blue,0.0006408691,Congruent
3,36,17,14,Yellow,0.0008850098,Congruent
3,35,11,6,Yellow,0.001098633,Congruent
3,34,17,9,Yellow,0.0007629395,Congruent
3,33,6,4,Yellow,0.000579834,Incongruent
3,32,8,9,Blue,0.0008239746,Congruent
3,31,10,12,Yellow,0.0004882813,Congruent
3,30,11,12,Blue,0.0007019043,Incongruent
3,29,11,12,Blue,0.0006408691,Incongruent
3,28,10,8,Yellow,0.0009460449,Congruent
3,27,7,8,Blue,0.0005187988,Congruent
3,26,18,12,Yellow,0.0007629395,Congruent
3,25,17,11,Yellow,0.0005493164,Congruent
3,24,12,9,Blue,0.000793457,Congruent
3,23,4,8,Yellow,0.0009155273,Congruent
3,22,12,21,Blue,0.000579834,Congruent
3,21,10,20,Blue,0.000579834,Incongruent
3,20,16,11,Yellow,0.0007324219,Congruent
3,19,6,9,Blue,0.0006103516,Congruent
3,18,5,11,Blue,0.000793457,Incongruent
3,17,4,6,Yellow,0.000579834,Incongruent
3,16,17,14,Blue,0.0006103516,Congruent
3,15,5,7,Blue,0.0009460449,Congruent
3,15,6,5,noResponse,0.0009460449,Incongruent
3,14,9,7,Blue,0.0008850098,Congruent
3,13,7,4,Yellow,0.0009155273,Congruent
3,12,6,8,Blue,0.0006103516,Congruent
3,11,16,9,Yellow,0.0007019043,Incongruent
3,10,13,11,Blue,0.0008544922,Congruent
3,9,18,11,Yellow,0.0008544922,Congruent
3,8,11,16,Blue,0.0006408691,Congruent
3,7,14,14,Yellow,0.0005493164,Congruent
3,6,18,11,Yellow,0.0005493164,Congruent
3,5,6,2,Yellow,0.000793457,Congruent
3,4,13,10,Blue,0.0007019043,Congruent
3,3,8,14,Blue,0.000579834,Congruent
3,2,6,9,Yellow,0.001159668,Incongruent
3,1,16,10,Yellow,0.001434326,Incongruent
3,0,8,5,Blue,0.001678467,Congruent
3,-1,11,10,Yellow,0.0006103516,Congruent
