BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
1,51,18,12,Yellow,7.43866E-05,notApplicable
1,50,18,14,Yellow,1.907349E-06,notApplicable
1,49,18,15,Yellow,1.907349E-06,notApplicable
1,48,7,14,Yellow,0,notApplicable
1,47,19,12,Yellow,0,notApplicable
1,46,18,19,Blue,3.814697E-05,notApplicable
1,45,9,13,Blue,3.814697E-06,notApplicable
1,44,11,6,Yellow,3.814697E-06,notApplicable
1,43,16,13,Blue,7.629395E-06,notApplicable
1,42,12,10,Blue,0,notApplicable
1,41,9,17,Blue,3.814697E-06,notApplicable
1,40,10,12,Blue,0,notApplicable
1,39,12,14,Blue,0,notApplicable
1,38,8,4,Yellow,0,notApplicable
1,37,18,10,Yellow,7.629395E-06,notApplicable
1,36,14,8,Yellow,0,notApplicable
1,35,7,11,Yellow,0,notApplicable
1,34,13,12,Yellow,0,notApplicable
1,33,20,11,Yellow,0,notApplicable
1,32,5,7,Blue,0,notApplicable
1,31,7,4,Yellow,0,notApplicable
1,30,9,15,Blue,0,notApplicable
1,29,5,8,Yellow,7.629395E-06,notApplicable
1,28,8,10,Blue,0,notApplicable
1,27,11,13,Blue,7.629395E-06,notApplicable
1,26,14,12,Yellow,0,notApplicable
1,25,6,8,Blue,0,notApplicable
1,24,16,17,Blue,0,notApplicable
1,23,11,8,Yellow,0,notApplicable
1,22,11,13,Blue,7.629395E-06,notApplicable
1,21,5,4,Yellow,0,notApplicable
1,20,5,2,Yellow,0,notApplicable
1,19,5,7,Blue,0,notApplicable
1,18,8,6,Yellow,0,notApplicable
1,17,13,17,Blue,0,notApplicable
1,16,4,7,Blue,0,notApplicable
1,15,9,5,Yellow,0,notApplicable
1,14,3,6,Blue,0,notApplicable
1,13,11,7,Yellow,0,notApplicable
1,12,13,7,Yellow,0,notApplicable
1,11,7,9,Yellow,0,notApplicable
1,10,15,13,Yellow,0,notApplicable
1,9,10,7,Yellow,0,notApplicable
1,8,6,7,Blue,0,notApplicable
1,7,6,4,Yellow,0,notApplicable
1,6,5,7,Blue,0,notApplicable
1,5,10,14,Blue,0,notApplicable
1,4,10,8,Blue,0,notApplicable
1,3,12,20,Blue,0,notApplicable
1,2,5,8,Blue,1.525879E-05,notApplicable
1,1,11,8,Yellow,0,notApplicable
1,0,16,13,Yellow,0,notApplicable
1,-1,3,7,Blue,0,notApplicable
2,51,14,8,Yellow,0.00100708,notApplicable
2,50,13,11,Yellow,0.0009765625,notApplicable
2,49,15,11,Blue,0.0007324219,notApplicable
2,48,10,12,Blue,0.00112915,notApplicable
2,47,16,16,Blue,0.000869751,notApplicable
2,46,15,13,Blue,0.0009002686,notApplicable
2,45,4,8,Blue,0.0009307861,notApplicable
2,44,7,11,Blue,0.001037598,notApplicable
2,43,14,10,Yellow,0.0006866455,notApplicable
2,42,11,9,Blue,0.0009765625,notApplicable
2,41,6,8,Blue,0.0006561279,notApplicable
2,40,6,3,Yellow,0.0006256104,notApplicable
2,39,21,17,Blue,0.0006103516,notApplicable
2,38,6,6,Yellow,0.0007019043,notApplicable
2,37,8,14,Yellow,0.0007171631,notApplicable
2,36,14,11,Yellow,0.0005950928,notApplicable
2,35,21,14,Blue,0.001312256,notApplicable
2,34,10,15,Yellow,0.0007781982,notApplicable
2,33,7,4,Blue,0.000793457,notApplicable
2,32,15,18,Blue,0.0006103516,notApplicable
2,31,6,12,Blue,0.0006408691,notApplicable
2,30,8,9,Yellow,0.000793457,notApplicable
2,29,15,10,Blue,0.0006103516,notApplicable
2,28,16,11,Yellow,0.0007629395,notApplicable
2,27,12,18,Blue,0.0007324219,notApplicable
2,26,6,3,Yellow,0.0006408691,notApplicable
2,25,8,10,Blue,0.0006103516,notApplicable
2,24,9,6,Yellow,0.0008850098,notApplicable
2,23,6,4,Blue,0.000579834,notApplicable
2,22,9,6,Yellow,0.001434326,notApplicable
2,21,10,15,Yellow,0.0006103516,notApplicable
2,20,4,4,Yellow,0.0007629395,notApplicable
2,19,7,5,Yellow,0.0006713867,notApplicable
2,18,20,15,Blue,0.0007324219,notApplicable
2,17,10,7,Yellow,0.0006103516,notApplicable
2,16,7,11,Blue,0.0009765625,notApplicable
2,15,17,13,Yellow,0.0009460449,notApplicable
2,14,12,6,Blue,0.00100708,notApplicable
2,13,15,10,Blue,0.001037598,notApplicable
2,12,8,9,Yellow,0.0008239746,notApplicable
2,11,17,16,Yellow,0.000793457,notApplicable
2,10,12,20,Blue,0.000579834,notApplicable
2,9,13,14,Yellow,0.000793457,notApplicable
2,8,16,21,Yellow,0.0006103516,notApplicable
2,7,7,8,Blue,0.0007019043,notApplicable
2,6,8,15,Blue,0.0006103516,notApplicable
2,5,13,8,Yellow,0.000579834,notApplicable
2,4,9,19,Blue,0.0009765625,notApplicable
2,3,7,4,Yellow,0.0007629395,notApplicable
2,2,14,8,Blue,0.0006713867,notApplicable
2,1,6,4,Yellow,0.0005493164,notApplicable
2,0,7,10,Blue,0.0006103516,notApplicable
2,-1,12,9,Yellow,0.0005493164,notApplicable
3,51,12,8,Blue,0.0008850098,
3,50,14,10,Yellow,0.00112915,
3,49,7,4,Blue,0.0006713867,Incongruent
3,48,6,5,Blue,0.0006103516,Incongruent
3,47,3,5,Blue,0.000579834,Congruent
3,46,8,6,Blue,0.0008850098,Congruent
3,45,19,13,Yellow,0.0009155273,Congruent
3,44,4,6,Yellow,0.0007324219,Congruent
3,43,7,5,Yellow,0.0006408691,Congruent
3,42,15,19,Blue,0.0007324219,Congruent
3,41,12,20,Blue,0.0009460449,Congruent
3,40,7,9,Yellow,0.0007019043,Incongruent
3,39,19,10,Blue,0.0008239746,Congruent
3,38,13,20,Yellow,0.0008850098,Congruent
3,37,5,4,Blue,0.0006713867,Congruent
3,36,16,12,Yellow,0.0006103516,Congruent
3,35,12,12,Blue,0.0006408691,Congruent
3,34,7,9,Yellow,0.000579834,Congruent
3,33,16,9,Yellow,0.0006103516,Congruent
3,32,6,3,Yellow,0.0006713867,Congruent
3,31,9,7,Yellow,0.0007019043,Congruent
3,30,10,8,Blue,0.0006103516,Congruent
3,29,16,8,Blue,0.0007629395,Incongruent
3,28,14,19,Yellow,0.000579834,Congruent
3,27,4,7,Yellow,0.0006103516,Incongruent
3,26,7,6,Blue,0.0006713867,Congruent
3,25,9,7,Yellow,0.0006103516,Congruent
3,24,12,10,Yellow,0.0007019043,Congruent
3,23,10,13,Blue,0.0006713867,Congruent
3,22,3,7,Blue,0.000579834,Congruent
3,21,12,13,Blue,0.0006408691,Congruent
3,20,12,8,Yellow,0.0006408691,Congruent
3,19,6,9,Yellow,0.0008850098,Incongruent
3,18,11,9,Yellow,0.000793457,Incongruent
3,17,8,5,Blue,0.0007324219,Congruent
3,16,14,12,Yellow,0.001647949,Congruent
3,15,12,11,Blue,0.0008239746,Congruent
3,14,5,7,Blue,0.0007324219,Congruent
3,13,13,16,Blue,0.0007629395,Congruent
3,12,17,11,Blue,0.0006408691,Incongruent
3,11,16,15,Yellow,0.001098633,Incongruent
3,10,13,10,Blue,0.0006713867,Incongruent
3,9,12,13,Yellow,0.0008850098,Congruent
3,8,6,5,Yellow,0.0006103516,Congruent
3,7,11,5,Yellow,0.0006408691,Congruent
3,6,19,14,Blue,0.0007019043,Congruent
3,5,16,14,Yellow,0.0006713867,Congruent
3,4,6,16,Blue,0.0007629395,Congruent
3,3,19,12,Yellow,0.0006713867,Congruent
3,2,13,20,Yellow,0.0006713867,Congruent
3,1,20,13,Blue,0.0006103516,Congruent
3,0,10,9,Blue,0.0008544922,Incongruent
3,-1,14,10,Blue,0.001098633,Congruent
