BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
1,51,11,9,Yellow,3.814697E-05,notApplicable
1,50,15,9,Yellow,0,notApplicable
1,49,14,7,Yellow,7.629395E-06,notApplicable
1,48,7,6,Blue,2.288818E-05,notApplicable
1,47,6,3,Yellow,0,notApplicable
1,46,7,17,Blue,0,notApplicable
1,45,14,10,Yellow,0,notApplicable
1,44,20,13,Yellow,0,notApplicable
1,43,2,5,Blue,0,notApplicable
1,42,6,9,Blue,7.629395E-06,notApplicable
1,41,7,9,Yellow,0,notApplicable
1,40,18,15,Yellow,7.629395E-06,notApplicable
1,39,7,6,Yellow,0,notApplicable
1,38,12,18,Blue,7.629395E-06,notApplicable
1,37,10,18,Blue,7.629395E-06,notApplicable
1,36,8,11,Blue,7.629395E-06,notApplicable
1,35,7,6,Yellow,0,notApplicable
1,34,12,11,Yellow,0,notApplicable
1,33,15,12,Blue,0,notApplicable
1,32,17,13,Blue,1.525879E-05,notApplicable
1,31,18,10,Yellow,0,notApplicable
1,30,17,13,Yellow,0,notApplicable
1,29,6,9,Blue,0,notApplicable
1,28,17,13,Yellow,0,notApplicable
1,27,10,6,Yellow,0,notApplicable
1,26,11,18,Blue,0,notApplicable
1,25,6,8,Blue,0,notApplicable
1,24,12,5,Yellow,0,notApplicable
1,23,9,7,Yellow,0,notApplicable
1,22,6,4,Yellow,0,notApplicable
1,21,15,16,Yellow,0,notApplicable
1,20,14,10,Yellow,1.525879E-05,notApplicable
1,19,18,13,Yellow,0,notApplicable
1,18,8,11,Blue,0,notApplicable
1,17,6,8,Yellow,0,notApplicable
1,16,15,13,Yellow,0,notApplicable
1,15,7,8,Blue,0,notApplicable
1,14,4,6,Blue,0,notApplicable
1,13,15,9,Yellow,0,notApplicable
1,12,8,7,Yellow,1.525879E-05,notApplicable
1,11,14,10,Yellow,0,notApplicable
1,10,5,9,Blue,0,notApplicable
1,9,5,9,Blue,1.525879E-05,notApplicable
1,8,11,4,Yellow,0,notApplicable
1,7,16,10,Yellow,0,notApplicable
1,6,11,14,Blue,0,notApplicable
1,5,11,9,Blue,0,notApplicable
1,4,14,7,Yellow,0,notApplicable
1,3,8,12,Blue,0,notApplicable
1,2,13,10,Yellow,0,notApplicable
1,1,11,8,Yellow,0,notApplicable
1,0,12,14,Blue,0,notApplicable
1,-1,15,13,Yellow,0,notApplicable
2,51,13,22,Blue,0.0008544922,notApplicable
2,50,5,6,Yellow,0.000869751,notApplicable
2,49,13,9,Yellow,0.0006866455,notApplicable
2,48,7,8,Blue,0.0006713867,notApplicable
2,47,6,8,Blue,0.0008850098,notApplicable
2,46,18,14,Yellow,0.0005950928,notApplicable
2,45,11,21,Blue,0.001037598,notApplicable
2,44,16,17,Blue,0.0006103516,notApplicable
2,43,6,7,Yellow,0.0009460449,notApplicable
2,42,5,7,Blue,0.001037598,notApplicable
2,41,7,13,Blue,0.001464844,notApplicable
2,40,13,17,Blue,0.00112915,notApplicable
2,39,12,7,Yellow,0.0007019043,notApplicable
2,38,10,10,Blue,0.0007324219,notApplicable
2,37,7,8,Blue,0.000793457,notApplicable
2,36,15,11,Yellow,0.0005493164,notApplicable
2,35,20,12,Yellow,0.0007019043,notApplicable
2,34,4,2,Blue,0.0006713867,notApplicable
2,33,12,10,Yellow,0.0007019043,notApplicable
2,32,13,22,Blue,0.0007324219,notApplicable
2,31,8,6,Yellow,0.0006103516,notApplicable
2,30,17,10,Yellow,0.001556396,notApplicable
2,29,14,9,Yellow,0.0006408691,notApplicable
2,28,10,14,Blue,0.001098633,notApplicable
2,27,15,9,Yellow,0.0007019043,notApplicable
2,26,4,9,Blue,0.0007324219,notApplicable
2,25,7,15,Blue,0.0005493164,notApplicable
2,24,5,6,Blue,0.0005493164,notApplicable
2,23,6,5,Yellow,0.0006103516,notApplicable
2,22,12,7,Yellow,0.001068115,notApplicable
2,21,13,7,Yellow,0.000793457,notApplicable
2,20,9,6,Yellow,0.000793457,notApplicable
2,19,6,8,Yellow,0.0008850098,notApplicable
2,18,14,22,Yellow,0.0008239746,notApplicable
2,17,7,5,Yellow,0.001037598,notApplicable
2,16,4,8,Blue,0.00112915,notApplicable
2,15,10,7,Yellow,0.000793457,notApplicable
2,14,13,12,Yellow,0.0007629395,notApplicable
2,13,11,21,Blue,0.0006713867,notApplicable
2,12,8,6,Yellow,0.0005187988,notApplicable
2,11,5,3,Yellow,0.001068115,notApplicable
2,10,8,13,Blue,0.0008544922,notApplicable
2,9,10,15,Blue,0.0007324219,notApplicable
2,8,7,5,Yellow,0.001190186,notApplicable
2,7,6,9,Blue,0.0008544922,notApplicable
2,6,8,12,Blue,0.0006408691,notApplicable
2,5,12,10,Yellow,0.0006713867,notApplicable
2,4,17,13,Yellow,0.0007324219,notApplicable
2,3,4,7,Blue,0.0006408691,notApplicable
2,2,8,9,Blue,0.0006103516,notApplicable
2,1,20,15,Yellow,0.0005493164,notApplicable
2,0,13,15,Yellow,0.0007019043,notApplicable
2,-1,5,4,Yellow,0.0006713867,notApplicable
3,51,7,11,Blue,0.001373291,Congruent
3,50,17,12,Yellow,0.0007324219,Congruent
3,49,8,11,Blue,0.0005493164,Incongruent
3,48,10,8,Yellow,0.000579834,Congruent
3,47,15,19,Blue,0.0009765625,Congruent
3,46,8,12,Yellow,0.00100708,Congruent
3,45,12,5,Yellow,0.0006713867,Congruent
3,44,13,14,Blue,0.0006103516,Congruent
3,43,8,4,Yellow,0.0005493164,Incongruent
3,42,14,8,Yellow,0.0008544922,Incongruent
3,41,14,15,Yellow,0.0006713867,Congruent
3,40,7,4,Yellow,0.0007324219,Congruent
3,39,18,12,Yellow,0.0005187988,Congruent
3,38,9,6,Yellow,0.0008544922,Congruent
3,37,17,12,Yellow,0.0005187988,Congruent
3,36,8,5,Yellow,0.0008850098,Congruent
3,35,14,13,Blue,0.0006103516,Incongruent
3,34,7,5,Blue,0.0006408691,Congruent
3,33,8,7,Yellow,0.0004577637,Incongruent
3,32,11,7,Yellow,0.0005493164,Incongruent
3,31,7,9,Blue,0.001037598,Congruent
3,30,13,11,Blue,0.000579834,Incongruent
3,29,13,12,Yellow,0.0005187988,Congruent
3,28,19,16,Yellow,0.0008239746,Congruent
3,27,16,20,Blue,0.0005493164,Congruent
3,26,8,5,Yellow,0.0005493164,Congruent
3,25,19,12,Yellow,0.0006408691,Congruent
3,24,9,10,Yellow,0.0006408691,Congruent
3,23,7,9,Blue,0.0007629395,Congruent
3,22,5,4,Yellow,0.0007019043,Incongruent
3,21,9,12,Blue,0.000579834,Congruent
3,20,6,10,Yellow,0.0008239746,Incongruent
3,19,5,3,Yellow,0.0006713867,Incongruent
3,18,10,15,Yellow,0.0008239746,Congruent
3,17,5,3,Yellow,0.0008239746,Congruent
3,16,9,17,Blue,0.0005493164,Congruent
3,15,11,16,Blue,0.0008239746,Incongruent
3,14,12,20,Blue,0.0007019043,Congruent
3,13,12,6,Yellow,0.0006713867,Congruent
3,12,12,7,Yellow,0.000793457,Congruent
3,11,20,15,Yellow,0.0006103516,Congruent
3,10,14,20,Blue,0.0006713867,Incongruent
3,9,16,15,Yellow,0.0006103516,Incongruent
3,8,9,13,Blue,0.0006713867,Incongruent
3,7,17,10,Yellow,0.0005493164,Congruent
3,6,18,15,Yellow,0.0006103516,Congruent
3,5,9,6,Yellow,0.0005493164,Congruent
3,4,5,6,Blue,0.0007324219,Congruent
3,3,12,12,Yellow,0.0009765625,Congruent
3,2,13,7,Yellow,0.001037598,Congruent
3,1,13,9,Blue,0.0006713867,Congruent
3,0,10,9,Blue,0.0006103516,Congruent
3,-1,14,9,Yellow,0.0009765625,Congruent
