BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
1,51,10,17,Blue,4.577637E-05,notApplicable
1,50,13,15,Blue,0,notApplicable
1,49,17,12,Yellow,3.051758E-05,notApplicable
1,48,18,24,Yellow,0,notApplicable
1,47,10,16,Blue,7.629395E-06,notApplicable
1,46,21,15,Yellow,0,notApplicable
1,45,21,15,Yellow,0,notApplicable
1,44,10,12,Blue,0,notApplicable
1,43,4,7,Blue,0,notApplicable
1,42,14,16,Blue,0,notApplicable
1,41,17,10,Yellow,0,notApplicable
1,40,11,9,Blue,7.629395E-06,notApplicable
1,39,20,12,Blue,7.629395E-06,notApplicable
1,38,16,18,Yellow,0,notApplicable
1,37,11,14,Blue,0,notApplicable
1,36,10,17,Blue,0,notApplicable
1,35,8,5,Yellow,0,notApplicable
1,34,15,9,Yellow,7.629395E-06,notApplicable
1,33,14,19,Blue,0,notApplicable
1,32,13,14,Yellow,0,notApplicable
1,31,6,10,Blue,0,notApplicable
1,30,10,7,Yellow,0,notApplicable
1,29,8,12,Blue,0,notApplicable
1,28,6,9,Blue,0,notApplicable
1,27,7,9,Blue,0,notApplicable
1,26,15,20,Blue,0,notApplicable
1,25,18,14,Yellow,0,notApplicable
1,24,9,6,Yellow,0,notApplicable
1,23,9,15,Blue,0,notApplicable
1,22,15,13,Blue,0,notApplicable
1,21,5,7,Yellow,1.525879E-05,notApplicable
1,20,11,18,Blue,0,notApplicable
1,19,20,15,Yellow,0,notApplicable
1,18,5,8,Blue,1.525879E-05,notApplicable
1,17,10,10,Blue,0,notApplicable
1,16,5,8,Blue,0,notApplicable
1,15,18,14,Yellow,0,notApplicable
1,14,19,13,Yellow,0,notApplicable
1,13,14,14,Blue,0,notApplicable
1,12,10,6,Yellow,0,notApplicable
1,11,12,12,Yellow,0,notApplicable
1,10,15,9,Yellow,0,notApplicable
1,9,18,19,Blue,0,notApplicable
1,8,14,9,Yellow,0,notApplicable
1,7,11,12,Yellow,0,notApplicable
1,6,16,18,Blue,0,notApplicable
1,5,14,9,Yellow,0,notApplicable
1,4,15,12,Blue,1.525879E-05,notApplicable
1,3,19,15,Yellow,0,notApplicable
1,2,4,7,Blue,0,notApplicable
1,1,8,6,Blue,0,notApplicable
1,0,10,14,Blue,0,notApplicable
1,-1,6,7,Yellow,0,notApplicable
2,51,10,14,Blue,0.001022339,notApplicable
2,50,9,7,Yellow,0.0006103516,notApplicable
2,49,8,6,Blue,0.0006713867,notApplicable
2,48,8,17,Blue,0.0007781982,notApplicable
2,47,14,19,Blue,0.0009765625,notApplicable
2,46,13,12,Blue,0.0007629395,notApplicable
2,45,20,13,Yellow,0.0004882813,notApplicable
2,44,7,12,Blue,0.0007019043,notApplicable
2,43,10,11,Yellow,0.0007019043,notApplicable
2,42,4,10,Blue,0.0006408691,notApplicable
2,41,7,10,Blue,0.0005493164,notApplicable
2,40,18,11,Yellow,0.0008850098,notApplicable
2,39,14,8,Blue,0.0004577637,notApplicable
2,38,15,18,Blue,0.0006103516,notApplicable
2,37,18,14,Yellow,0.000579834,notApplicable
2,36,8,11,Blue,0.0004882813,notApplicable
2,35,12,18,Blue,0.001068115,notApplicable
2,34,16,10,Yellow,0.0007324219,notApplicable
2,33,7,4,Yellow,0.00100708,notApplicable
2,32,16,17,Blue,0.0008239746,notApplicable
2,31,7,11,Yellow,0.0007324219,notApplicable
2,30,5,4,Yellow,0.0006408691,notApplicable
2,29,13,20,Blue,0.0008850098,notApplicable
2,28,7,4,Blue,0.0006713867,notApplicable
2,27,13,18,Yellow,0.0007324219,notApplicable
2,26,7,14,Blue,0.0007629395,notApplicable
2,25,7,10,Blue,0.001037598,notApplicable
2,24,8,6,Yellow,0.0005493164,notApplicable
2,23,15,11,Yellow,0.000579834,notApplicable
2,22,14,9,Yellow,0.0005493164,notApplicable
2,21,10,18,Blue,0.0008850098,notApplicable
2,20,9,10,Blue,0.0004882813,notApplicable
2,19,17,18,Yellow,0.0008239746,notApplicable
2,18,19,10,Yellow,0.0005187988,notApplicable
2,17,5,13,Blue,0.003662109,notApplicable
2,16,16,12,Blue,0.001037598,notApplicable
2,15,7,3,Yellow,0.0009765625,notApplicable
2,14,13,19,Blue,0.000579834,notApplicable
2,13,14,16,Blue,0.0007019043,notApplicable
2,12,7,13,Blue,0.0006408691,notApplicable
2,11,6,9,Blue,0.0006103516,notApplicable
2,10,10,7,Yellow,0.0004577637,notApplicable
2,9,17,11,Yellow,0.0004882813,notApplicable
2,8,4,7,Blue,0.0008544922,notApplicable
2,7,5,6,Yellow,0.0008239746,notApplicable
2,6,7,15,Blue,0.001098633,notApplicable
2,5,12,8,Yellow,0.0005187988,notApplicable
2,4,19,13,Yellow,0.000793457,notApplicable
2,3,13,8,Yellow,0.0008239746,notApplicable
2,2,5,7,Blue,0.0007019043,notApplicable
2,1,7,5,Yellow,0.0008850098,notApplicable
2,0,19,14,Yellow,0.0007324219,notApplicable
2,-1,8,11,Blue,0.0005493164,notApplicable
3,51,7,5,Yellow,0.000579834,Incongruent
3,50,17,14,Yellow,0.0009765625,Incongruent
3,49,7,12,Yellow,0.0007324219,Congruent
3,48,7,9,Blue,0.0007629395,Congruent
3,47,7,12,Blue,0.0004577637,Congruent
3,46,16,13,Blue,0.0006408691,Incongruent
3,45,11,8,Yellow,0.0008850098,Congruent
3,44,7,8,Blue,0.0004882813,Congruent
3,43,17,11,Yellow,0.0009155273,Congruent
3,42,20,13,Blue,0.000579834,Congruent
3,41,10,17,Blue,0.0008239746,Congruent
3,40,17,11,Yellow,0.000579834,Congruent
3,39,13,9,Blue,0.0007324219,Congruent
3,38,19,13,Yellow,0.000579834,Congruent
3,37,11,15,Blue,0.000793457,Congruent
3,36,17,13,Yellow,0.0006103516,Congruent
3,35,11,15,Blue,0.0009155273,Congruent
3,34,17,11,Yellow,0.001159668,Congruent
3,33,18,7,Yellow,0.0006713867,Congruent
3,32,15,12,Blue,0.001190186,Congruent
3,31,5,9,Blue,0.001281738,Congruent
3,30,9,6,Yellow,0.0005493164,Congruent
3,29,13,5,Yellow,0.0007324219,Congruent
3,28,21,14,Yellow,0.0005493164,Congruent
3,27,11,10,Blue,0.0005493164,Congruent
3,26,10,16,Yellow,0.0007019043,Congruent
3,25,5,19,Blue,0.0005187988,Congruent
3,24,12,17,Blue,0.000579834,Congruent
3,23,8,6,Yellow,0.0007019043,Congruent
3,22,17,13,Yellow,0.0006103516,Congruent
3,21,7,4,Yellow,0.0006713867,Congruent
3,20,24,16,Blue,0.0008544922,Incongruent
3,19,4,8,Yellow,0.0006103516,Incongruent
3,18,5,6,Yellow,0.001037598,Congruent
3,17,10,8,Blue,0.0007324219,Congruent
3,16,6,9,Yellow,0.0006103516,Congruent
3,15,13,13,Blue,0.0004882813,Congruent
