BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
1,51,12,11,Yellow,4.577637E-05,notApplicable
1,50,6,9,Blue,3.051758E-05,notApplicable
1,49,9,13,Blue,0,notApplicable
1,48,6,9,Yellow,0,notApplicable
1,47,10,14,Blue,0,notApplicable
1,46,9,6,Yellow,0,notApplicable
1,45,13,9,Yellow,1.525879E-05,notApplicable
1,44,14,6,Yellow,0,notApplicable
1,43,12,15,Blue,0,notApplicable
1,42,4,5,Yellow,0,notApplicable
1,41,15,17,Blue,1.525879E-05,notApplicable
1,40,13,14,Blue,1.525879E-05,notApplicable
1,39,7,8,Blue,0,notApplicable
1,38,6,7,Yellow,0,notApplicable
1,37,6,8,Blue,0,notApplicable
1,36,15,10,Blue,0,notApplicable
1,35,18,10,Yellow,0,notApplicable
1,34,16,12,Yellow,0,notApplicable
1,33,9,5,Yellow,0,notApplicable
1,32,6,9,Blue,0,notApplicable
1,31,14,20,Yellow,0,notApplicable
1,30,10,7,Yellow,0,notApplicable
1,29,7,8,Blue,0,notApplicable
1,28,10,15,Blue,1.525879E-05,notApplicable
1,27,17,14,Yellow,1.525879E-05,notApplicable
1,26,14,9,Yellow,0,notApplicable
1,25,12,16,Yellow,0,notApplicable
1,24,18,14,Yellow,0,notApplicable
1,23,9,14,Blue,0,notApplicable
1,22,13,9,Blue,0,notApplicable
1,21,13,12,Yellow,0,notApplicable
1,20,15,17,Blue,0,notApplicable
1,19,7,3,Yellow,0,notApplicable
1,18,7,10,Blue,1.525879E-05,notApplicable
1,17,17,9,Yellow,0,notApplicable
1,16,13,5,Yellow,0,notApplicable
1,15,18,13,Yellow,0,notApplicable
1,14,15,9,Yellow,0,notApplicable
1,13,7,11,Blue,1.525879E-05,notApplicable
1,12,8,5,Blue,1.525879E-05,notApplicable
1,11,13,17,Blue,0,notApplicable
1,10,13,17,Blue,1.525879E-05,notApplicable
1,9,16,14,Yellow,0,notApplicable
1,8,15,14,Blue,0,notApplicable
1,7,12,15,Yellow,0,notApplicable
1,6,9,15,Blue,1.525879E-05,notApplicable
1,5,5,7,Blue,0,notApplicable
1,4,13,7,Yellow,0,notApplicable
1,3,11,10,Yellow,0,notApplicable
1,2,5,8,Blue,0,notApplicable
1,1,5,9,Yellow,0,notApplicable
1,0,3,6,Blue,3.051758E-05,notApplicable
1,-1,12,7,Yellow,0,notApplicable
2,51,6,8,Blue,0.0008850098,notApplicable
2,50,16,12,Yellow,0.000579834,notApplicable
2,49,18,14,Yellow,0.0006103516,notApplicable
2,48,10,13,Yellow,0.001037598,notApplicable
2,47,14,12,Blue,0.0006408691,notApplicable
2,46,16,10,Yellow,0.0007324219,notApplicable
2,45,9,12,Blue,0.0007324219,notApplicable
2,44,9,15,Blue,0.0007629395,notApplicable
2,43,14,14,Blue,0.001495361,notApplicable
2,42,7,7,Blue,0.0006103516,notApplicable
2,41,7,13,Blue,0.0006408691,notApplicable
2,40,16,22,Blue,0.0007019043,notApplicable
2,39,6,8,Blue,0.0006408691,notApplicable
2,38,19,14,Yellow,0.0005493164,notApplicable
2,37,15,16,Blue,0.0006408691,notApplicable
2,36,19,17,Yellow,0.0005187988,notApplicable
2,35,5,4,Yellow,0.0006408691,notApplicable
2,34,6,2,Yellow,0.000579834,notApplicable
2,33,7,11,Blue,0.0007019043,notApplicable
2,32,9,12,Blue,0.001098633,notApplicable
2,31,10,7,Yellow,0.001708984,notApplicable
2,30,13,11,Blue,0.0005493164,notApplicable
2,29,11,11,Yellow,0.000579834,notApplicable
2,28,13,19,Blue,0.0009765625,notApplicable
2,27,6,4,Yellow,0.0007324219,notApplicable
2,26,14,8,Yellow,0.0007019043,notApplicable
2,25,16,13,Yellow,0.0006713867,notApplicable
2,24,11,6,Yellow,0.0006408691,notApplicable
2,23,9,11,Blue,0.0007629395,notApplicable
2,22,15,17,Yellow,0.0007019043,notApplicable
2,21,10,16,Blue,0.0006713867,notApplicable
2,20,6,3,Yellow,0.0004577637,notApplicable
2,19,15,10,Yellow,0.0007324219,notApplicable
2,18,17,16,Yellow,0.0008239746,notApplicable
2,17,19,10,Yellow,0.0009765625,notApplicable
2,16,16,16,Blue,0.0006713867,notApplicable
2,15,9,6,Yellow,0.0007019043,notApplicable
2,14,7,4,Yellow,0.0007629395,notApplicable
2,13,15,21,Blue,0.0008850098,notApplicable
2,12,13,16,Blue,0.0007629395,notApplicable
2,11,14,21,Blue,0.0007324219,notApplicable
2,10,10,13,Blue,0.000579834,notApplicable
2,9,19,13,Yellow,0.0006713867,notApplicable
2,8,12,10,Blue,0.0007019043,notApplicable
2,7,13,16,Blue,0.0006103516,notApplicable
2,6,12,14,Blue,0.0006408691,notApplicable
2,5,13,13,Yellow,0.0006713867,notApplicable
2,4,10,18,Yellow,0.0006103516,notApplicable
2,3,11,14,Yellow,0.000579834,notApplicable
2,2,10,16,Blue,0.000579834,notApplicable
2,1,4,6,Yellow,0.0006713867,notApplicable
2,0,6,7,Yellow,0.0007019043,notApplicable
2,-1,17,10,Yellow,0.0005493164,notApplicable
3,51,6,7,Yellow,0.0008850098,Congruent
3,50,6,11,Blue,0.0008850098,Congruent
3,49,4,7,Blue,0.0006713867,Congruent
3,48,17,12,Blue,0.0008850098,Congruent
3,47,7,14,Blue,0.001190186,Incongruent
3,46,10,17,Yellow,0.0008239746,Incongruent
3,45,11,22,Blue,0.0006408691,Incongruent
3,44,13,11,Yellow,0.0009155273,Congruent
3,43,6,8,Blue,0.0006408691,Congruent
3,42,8,4,Yellow,0.0006713867,Congruent
3,41,7,5,Yellow,0.001037598,Congruent
3,40,15,12,Blue,0.000579834,Congruent
3,39,8,5,Yellow,0.0006713867,Congruent
3,38,12,7,Yellow,0.0006408691,Congruent
3,37,18,14,Yellow,0.0005493164,Congruent
3,36,6,12,Blue,0.0008239746,Congruent
3,35,18,11,Yellow,0.0007019043,Congruent
3,34,11,10,Blue,0.0006713867,Incongruent
3,33,15,11,Yellow,0.0006713867,Congruent
3,32,6,9,Blue,0.0007629395,Congruent
3,31,5,5,Yellow,0.0006713867,Incongruent
3,30,5,3,Yellow,0.0008239746,Congruent
3,29,8,11,Yellow,0.00100708,Incongruent
3,28,13,16,Blue,0.0006713867,Incongruent
3,27,5,3,Yellow,0.0007629395,Congruent
3,26,8,13,Yellow,0.0006713867,Congruent
3,25,6,10,Blue,0.0006713867,Congruent
3,24,7,14,Blue,0.0006103516,Congruent
3,23,14,20,Yellow,0.0006713867,Congruent
3,22,19,14,Yellow,0.0006713867,Congruent
3,21,12,7,Yellow,0.0006713867,Congruent
3,20,13,8,Yellow,0.0006713867,Congruent
3,19,15,19,Blue,0.0006103516,Congruent
3,18,13,9,Yellow,0.000579834,Congruent
3,17,4,5,Yellow,0.0006103516,Congruent
3,16,9,12,Blue,0.0007324219,Congruent
3,15,15,14,Yellow,0.0007324219,Incongruent
3,14,11,6,Yellow,0.0007324219,Congruent
3,13,10,15,Blue,0.0005493164,Congruent
3,12,21,18,Yellow,0.0005493164,Congruent
3,11,12,8,Yellow,0.0005493164,Congruent
3,10,5,8,Blue,0.0006103516,Congruent
3,9,9,5,Yellow,0.0006713867,Incongruent
3,8,6,15,Blue,0.0006713867,Congruent
3,7,10,13,Blue,0.000793457,Congruent
3,6,9,8,Yellow,0.001464844,Congruent
3,5,10,13,Blue,0.0006713867,Congruent
3,4,3,5,Yellow,0.0006103516,Congruent
3,3,7,11,Blue,0.0009155273,Congruent
3,2,7,15,Blue,0.0006713867,Congruent
3,1,15,9,Yellow,0.001098633,Congruent
3,0,19,16,Yellow,0.001098633,Congruent
3,-1,6,12,Blue,0.0007324219,Congruent
