BlockNumber, TrialNumber, nrYellowDots, nrBlueDots, Response, ReactionTime, Congruency
1,51,6,8,Blue,5.149841E-05,notApplicable
1,50,11,15,Blue,1.907349E-06,notApplicable
1,49,11,13,Blue,1.907349E-06,notApplicable
1,48,6,8,Yellow,6.866455E-05,notApplicable
1,47,13,15,Yellow,3.814697E-06,notApplicable
1,46,10,19,Blue,3.814697E-06,notApplicable
1,45,4,8,Blue,3.814697E-06,notApplicable
1,44,16,11,Yellow,0,notApplicable
1,43,9,7,Yellow,0,notApplicable
1,42,10,5,Yellow,0,notApplicable
1,41,8,11,Blue,0,notApplicable
1,40,16,13,Blue,0,notApplicable
1,39,9,16,Blue,7.629395E-06,notApplicable
1,38,13,8,Yellow,0,notApplicable
1,37,16,18,Blue,7.629395E-06,notApplicable
1,36,12,18,Blue,7.629395E-06,notApplicable
1,35,8,4,Yellow,0,notApplicable
1,34,16,10,Yellow,0,notApplicable
1,33,8,5,Yellow,0,notApplicable
1,32,14,12,Blue,0,notApplicable
1,31,8,4,Yellow,7.629395E-06,notApplicable
1,30,6,4,Yellow,7.629395E-06,notApplicable
1,29,8,7,Yellow,0,notApplicable
1,28,9,6,Yellow,0,notApplicable
1,27,12,15,Blue,7.629395E-06,notApplicable
1,26,15,19,Blue,7.629395E-06,notApplicable
1,25,7,9,Blue,7.629395E-06,notApplicable
1,24,5,6,Blue,0,notApplicable
1,23,8,12,Blue,0,notApplicable
1,22,12,9,Yellow,0,notApplicable
1,21,16,11,Yellow,0,notApplicable
1,20,7,3,Yellow,0,notApplicable
1,19,13,7,Yellow,0,notApplicable
1,18,16,20,Blue,0,notApplicable
1,17,16,11,Blue,0,notApplicable
1,16,5,8,Yellow,0,notApplicable
1,15,15,9,Yellow,0,notApplicable
1,14,6,6,Blue,0,notApplicable
1,13,7,6,Yellow,0,notApplicable
1,12,8,5,Yellow,0,notApplicable
1,11,9,6,Blue,0,notApplicable
1,10,9,13,Blue,0,notApplicable
1,9,21,17,Yellow,0,notApplicable
1,8,11,7,Yellow,0,notApplicable
1,7,4,7,Blue,0,notApplicable
1,6,7,15,Blue,0,notApplicable
1,5,10,8,Yellow,0,notApplicable
1,4,12,11,Blue,0,notApplicable
1,3,12,14,Yellow,0,notApplicable
1,2,7,5,Blue,0,notApplicable
1,1,3,5,Blue,0,notApplicable
1,0,15,9,Yellow,1.525879E-05,notApplicable
1,-1,17,25,Blue,0,notApplicable
2,51,8,7,Yellow,0.0005950928,notApplicable
2,50,15,11,Yellow,0.0007781982,notApplicable
2,49,6,10,Blue,0.0007019043,notApplicable
2,48,12,9,Yellow,0.0005340576,notApplicable
2,47,5,3,Yellow,0.0008239746,notApplicable
2,46,12,7,Yellow,0.00050354,notApplicable
2,45,5,3,Yellow,0.0004730225,notApplicable
2,44,11,14,Blue,0.000793457,notApplicable
2,43,15,9,Yellow,0.0006561279,notApplicable
2,42,15,22,Blue,0.0007629395,notApplicable
2,41,13,15,Blue,0.0007629395,notApplicable
2,40,18,11,Yellow,0.0006103516,notApplicable
2,39,14,12,Yellow,0.0005950928,notApplicable
2,38,8,14,Yellow,0.0007171631,notApplicable
2,37,3,6,Blue,0.0007476807,notApplicable
2,36,20,13,Yellow,0.0005340576,notApplicable
2,35,6,6,Blue,0.0007781982,notApplicable
2,34,7,3,Yellow,0.0006713867,notApplicable
2,33,19,13,Blue,0.0006713867,notApplicable
2,32,14,20,Blue,0.000579834,notApplicable
2,31,10,8,Yellow,0.0005493164,notApplicable
2,30,16,10,Yellow,0.0006713867,notApplicable
2,29,5,7,Blue,0.0005493164,notApplicable
2,28,7,9,Blue,0.0006713867,notApplicable
2,27,13,10,Yellow,0.001342773,notApplicable
2,26,4,6,Blue,0.0006713867,notApplicable
2,25,14,11,Yellow,0.0005493164,notApplicable
2,24,8,10,Blue,0.0008239746,notApplicable
2,23,8,15,Yellow,0.0007019043,notApplicable
2,22,19,15,Yellow,0.0006408691,notApplicable
2,21,8,6,Blue,0.0007019043,notApplicable
2,20,14,9,Yellow,0.0006103516,notApplicable
2,19,7,3,Yellow,0.0006408691,notApplicable
2,18,21,13,Yellow,0.001037598,notApplicable
2,17,13,19,Blue,0.0006408691,notApplicable
2,16,12,19,Blue,0.0009155273,notApplicable
2,15,18,18,Yellow,0.00112915,notApplicable
2,14,9,6,Blue,0.0007019043,notApplicable
